trade_date,label,source
2016-09-07,Independência do Brasil,ANBIMA_feriados_nacionais_xls
2016-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil,ANBIMA_feriados_nacionais_xls
2016-11-02,Finados,ANBIMA_feriados_nacionais_xls
2016-11-15,Proclamação da República,ANBIMA_feriados_nacionais_xls
2016-12-25,Natal,ANBIMA_feriados_nacionais_xls
2017-01-01,Confraternização Universal,ANBIMA_feriados_nacionais_xls
2017-02-27,Carnaval,ANBIMA_feriados_nacionais_xls
2017-02-28,Carnaval,ANBIMA_feriados_nacionais_xls
2017-04-14,Paixão de Cristo,ANBIMA_feriados_nacionais_xls
2017-04-21,Tiradentes,ANBIMA_feriados_nacionais_xls
2017-05-01,Dia do Trabalho,ANBIMA_feriados_nacionais_xls
2017-06-15,Corpus Christi,ANBIMA_feriados_nacionais_xls
2017-09-07,Independência do Brasil,ANBIMA_feriados_nacionais_xls
2017-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil,ANBIMA_feriados_nacionais_xls
2017-11-02,Finados,ANBIMA_feriados_nacionais_xls
2017-11-15,Proclamação da República,ANBIMA_feriados_nacionais_xls
2017-12-25,Natal,ANBIMA_feriados_nacionais_xls
2018-01-01,Confraternização Universal,ANBIMA_feriados_nacionais_xls
2018-02-12,Carnaval,ANBIMA_feriados_nacionais_xls
2018-02-13,Carnaval,ANBIMA_feriados_nacionais_xls
2018-03-30,Paixão de Cristo,ANBIMA_feriados_nacionais_xls
2018-04-21,Tiradentes,ANBIMA_feriados_nacionais_xls
2018-05-01,Dia do Trabalho,ANBIMA_feriados_nacionais_xls
2018-05-31,Corpus Christi,ANBIMA_feriados_nacionais_xls
2018-09-07,Independência do Brasil,ANBIMA_feriados_nacionais_xls
2018-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil,ANBIMA_feriados_nacionais_xls
2018-11-02,Finados,ANBIMA_feriados_nacionais_xls
2018-11-15,Proclamação da República,ANBIMA_feriados_nacionais_xls
2018-12-25,Natal,ANBIMA_feriados_nacionais_xls
2019-01-01,Confraternização Universal,ANBIMA_feriados_nacionais_xls
2019-03-04,Carnaval,ANBIMA_feriados_nacionais_xls
2019-03-05,Carnaval,ANBIMA_feriados_nacionais_xls
2019-04-19,Paixão de Cristo,ANBIMA_feriados_nacionais_xls
2019-04-21,Tiradentes,ANBIMA_feriados_nacionais_xls
2019-05-01,Dia do Trabalho,ANBIMA_feriados_nacionais_xls
2019-06-20,Corpus Christi,ANBIMA_feriados_nacionais_xls
2019-09-07,Independência do Brasil,ANBIMA_feriados_nacionais_xls
2019-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil,ANBIMA_feriados_nacionais_xls
2019-11-02,Finados,ANBIMA_feriados_nacionais_xls
2019-11-15,Proclamação da República,ANBIMA_feriados_nacionais_xls
2019-12-25,Natal,ANBIMA_feriados_nacionais_xls
2020-01-01,Confraternização Universal,ANBIMA_feriados_nacionais_xls
2020-02-24,Carnaval,ANBIMA_feriados_nacionais_xls
2020-02-25,Carnaval,ANBIMA_feriados_nacionais_xls
2020-04-10,Paixão de Cristo,ANBIMA_feriados_nacionais_xls
2020-04-21,Tiradentes,ANBIMA_feriados_nacionais_xls
2020-05-01,Dia do Trabalho,ANBIMA_feriados_nacionais_xls
2020-06-11,Corpus Christi,ANBIMA_feriados_nacionais_xls
2020-09-07,Independência do Brasil,ANBIMA_feriados_nacionais_xls
2020-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil,ANBIMA_feriados_nacionais_xls
2020-11-02,Finados,ANBIMA_feriados_nacionais_xls
2020-11-15,Proclamação da República,ANBIMA_feriados_nacionais_xls
2020-12-25,Natal,ANBIMA_feriados_nacionais_xls
2021-01-01,Confraternização Universal,ANBIMA_feriados_nacionais_xls
2021-02-15,Carnaval,ANBIMA_feriados_nacionais_xls
2021-02-16,Carnaval,ANBIMA_feriados_nacionais_xls
2021-04-02,Paixão de Cristo,ANBIMA_feriados_nacionais_xls
2021-04-21,Tiradentes,ANBIMA_feriados_nacionais_xls
2021-05-01,Dia do Trabalho,ANBIMA_feriados_nacionais_xls
2021-06-03,Corpus Christi,ANBIMA_feriados_nacionais_xls
2021-09-07,Independência do Brasil,ANBIMA_feriados_nacionais_xls
2021-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil,ANBIMA_feriados_nacionais_xls
2021-11-02,Finados,ANBIMA_feriados_nacionais_xls
2021-11-15,Proclamação da República,ANBIMA_feriados_nacionais_xls
2021-12-25,Natal,ANBIMA_feriados_nacionais_xls
2022-01-01,Confraternização Universal,ANBIMA_feriados_nacionais_xls
2022-02-28,Carnaval,ANBIMA_feriados_nacionais_xls
2022-03-01,Carnaval,ANBIMA_feriados_nacionais_xls
2022-04-15,Paixão de Cristo,ANBIMA_feriados_nacionais_xls
2022-04-21,Tiradentes,ANBIMA_feriados_nacionais_xls
2022-05-01,Dia do Trabalho,ANBIMA_feriados_nacionais_xls
2022-06-16,Corpus Christi,ANBIMA_feriados_nacionais_xls
2022-09-07,Independência do Brasil,ANBIMA_feriados_nacionais_xls
2022-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil,ANBIMA_feriados_nacionais_xls
2022-11-02,Finados,ANBIMA_feriados_nacionais_xls
2022-11-15,Proclamação da República,ANBIMA_feriados_nacionais_xls
2022-12-25,Natal,ANBIMA_feriados_nacionais_xls
2023-01-01,Confraternização Universal,ANBIMA_feriados_nacionais_xls
2023-02-20,Carnaval,ANBIMA_feriados_nacionais_xls
2023-02-21,Carnaval,ANBIMA_feriados_nacionais_xls
2023-04-07,Paixão de Cristo,ANBIMA_feriados_nacionais_xls
2023-04-21,Tiradentes,ANBIMA_feriados_nacionais_xls
2023-05-01,Dia do Trabalho,ANBIMA_feriados_nacionais_xls
2023-06-08,Corpus Christi,ANBIMA_feriados_nacionais_xls
2023-09-07,Independência do Brasil,ANBIMA_feriados_nacionais_xls
2023-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil,ANBIMA_feriados_nacionais_xls
2023-11-02,Finados,ANBIMA_feriados_nacionais_xls
2023-11-15,Proclamação da República,ANBIMA_feriados_nacionais_xls
2023-12-25,Natal,ANBIMA_feriados_nacionais_xls
2024-01-01,Confraternização Universal,ANBIMA_feriados_nacionais_xls
2024-02-12,Carnaval,ANBIMA_feriados_nacionais_xls
2024-02-13,Carnaval,ANBIMA_feriados_nacionais_xls
2024-03-29,Paixão de Cristo,ANBIMA_feriados_nacionais_xls
2024-04-21,Tiradentes,ANBIMA_feriados_nacionais_xls
2024-05-01,Dia do Trabalho,ANBIMA_feriados_nacionais_xls
2024-05-30,Corpus Christi,ANBIMA_feriados_nacionais_xls
2024-09-07,Independência do Brasil,ANBIMA_feriados_nacionais_xls
2024-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil,ANBIMA_feriados_nacionais_xls
2024-11-02,Finados,ANBIMA_feriados_nacionais_xls
2024-11-15,Proclamação da República,ANBIMA_feriados_nacionais_xls
2024-11-20,Dia Nacional de Zumbi e da Consciência Negra,ANBIMA_feriados_nacionais_xls
2024-12-25,Natal,ANBIMA_feriados_nacionais_xls
2025-01-01,Confraternização Universal,ANBIMA_feriados_nacionais_xls
2025-03-03,Carnaval,ANBIMA_feriados_nacionais_xls
2025-03-04,Carnaval,ANBIMA_feriados_nacionais_xls
2025-04-18,Paixão de Cristo,ANBIMA_feriados_nacionais_xls
2025-04-21,Tiradentes,ANBIMA_feriados_nacionais_xls
2025-05-01,Dia do Trabalho,ANBIMA_feriados_nacionais_xls
2025-06-19,Corpus Christi,ANBIMA_feriados_nacionais_xls
2025-09-07,Independência do Brasil,ANBIMA_feriados_nacionais_xls
2025-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil,ANBIMA_feriados_nacionais_xls
2025-11-02,Finados,ANBIMA_feriados_nacionais_xls
2025-11-15,Proclamação da República,ANBIMA_feriados_nacionais_xls
2025-11-20,Dia Nacional de Zumbi e da Consciência Negra,ANBIMA_feriados_nacionais_xls
2025-12-25,Natal,ANBIMA_feriados_nacionais_xls
2026-01-01,Confraternização Universal,ANBIMA_feriados_nacionais_xls
2026-02-16,Carnaval,ANBIMA_feriados_nacionais_xls
2026-02-17,Carnaval,ANBIMA_feriados_nacionais_xls
2026-04-03,Paixão de Cristo,ANBIMA_feriados_nacionais_xls
2026-04-21,Tiradentes,ANBIMA_feriados_nacionais_xls
2026-05-01,Dia do Trabalho,ANBIMA_feriados_nacionais_xls
2026-06-04,Corpus Christi,ANBIMA_feriados_nacionais_xls
2026-09-07,Independência do Brasil,ANBIMA_feriados_nacionais_xls
2026-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil,ANBIMA_feriados_nacionais_xls
2026-11-02,Finados,ANBIMA_feriados_nacionais_xls
2026-11-15,Proclamação da República,ANBIMA_feriados_nacionais_xls
2026-11-20,Dia Nacional de Zumbi e da Consciência Negra,ANBIMA_feriados_nacionais_xls
2026-12-25,Natal,ANBIMA_feriados_nacionais_xls
